regid,Lemma
"RI III,2,3 n. 1",werden
"RI III,2,3 n. 10",folgen
"RI III,2,3 n. 1000",feiern
"RI III,2,3 n. 1001",versammeln
"RI III,2,3 n. 1002",werden
"RI III,2,3 n. 1003",bestätigen
"RI III,2,3 n. 1004",feiern
"RI III,2,3 n. 1005",halten
"RI III,2,3 n. 1006",verleihen
"RI III,2,3 n. 1007",lassen
"RI III,2,3 n. 1008",schenken
"RI III,2,3 n. 1009",fallen|fällen
"RI III,2,3 n. 1010",schenken
"RI III,2,3 n. 1011",treffen
"RI III,2,3 n. 1012",zurückziehen
"RI III,2,3 n. 1013",bestätigen
"RI III,2,3 n. 1014",übertragen
"RI III,2,3 n. 1015",brechen
"RI III,2,3 n. 1016",treffen
"RI III,2,3 n. 1017",ernennen
"RI III,2,3 n. 1018",begehen
"RI III,2,3 n. 1019",entsenden
"RI III,2,3 n. 1020",treffen
"RI III,2,3 n. 1021",werden
"RI III,2,3 n. 1022",werden
"RI III,2,3 n. 1023",treffen
"RI III,2,3 n. 1024",werden
"RI III,2,3 n. 1025",schenken
"RI III,2,3 n. 1026",beklagen
"RI III,2,3 n. 1027",übergeben
"RI III,2,3 n. 1028",überschreiten
"RI III,2,3 n. 1029",feiern
"RI III,2,3 n. 1030",werden
"RI III,2,3 n. 1031",erlassen
"RI III,2,3 n. 1032",erlassen
"RI III,2,3 n. 1033",knüpfen
"RI III,2,3 n. 1034",versuchen
"RI III,2,3 n. 1036",überqueren
"RI III,2,3 n. 1037",restituieren
"RI III,2,3 n. 1038",versichern
"RI III,2,3 n. 1039",treffen
"RI III,2,3 n. 1040",feiern
"RI III,2,3 n. 1041",bestätigen
"RI III,2,3 n. 1042",sichern
"RI III,2,3 n. 1043",empfangen
"RI III,2,3 n. 1044",verlassen
"RI III,2,3 n. 1045",bestätigen
"RI III,2,3 n. 1046",bestätigen
"RI III,2,3 n. 1047",belehnen
"RI III,2,3 n. 1048",verleihen
"RI III,2,3 n. 1049",verleihen
"RI III,2,3 n. 1050",erklären
"RI III,2,3 n. 1051",investieren
"RI III,2,3 n. 1052",nehmen
"RI III,2,3 n. 1053",versuchen
"RI III,2,3 n. 1054",sichern
"RI III,2,3 n. 1055",gehen
"RI III,2,3 n. 1056",werden
"RI III,2,3 n. 1057",nehmen
"RI III,2,3 n. 1058",entziehen
"RI III,2,3 n. 1059",begehen
"RI III,2,3 n. 1061",verwüsten
"RI III,2,3 n. 1062",treffen
"RI III,2,3 n. 1063",beginnen
"RI III,2,3 n. 1064",fordern
"RI III,2,3 n. 1065",befehlen
"RI III,2,3 n. 1066",beginnen
"RI III,2,3 n. 1067",werden
"RI III,2,3 n. 1068",erhalten
"RI III,2,3 n. 1069",gehen
"RI III,2,3 n. 1070",befehlen
"RI III,2,3 n. 1071",fordern
"RI III,2,3 n. 1072",feiern
"RI III,2,3 n. 1073",bestätigen
"RI III,2,3 n. 1074",bestätigen
"RI III,2,3 n. 1075",verleihen
"RI III,2,3 n. 1076",erobern
"RI III,2,3 n. 1077",empfangen
"RI III,2,3 n. 1078",werden
"RI III,2,3 n. 1079",nehmen
"RI III,2,3 n. 1080",nehmen
"RI III,2,3 n. 1081",empfangen
"RI III,2,3 n. 1082",zeihen|ziehen
"RI III,2,3 n. 1083",nehmen
"RI III,2,3 n. 1084",wiederholen
"RI III,2,3 n. 1085",werden
"RI III,2,3 n. 1086",entsenden
"RI III,2,3 n. 1087",erobern
"RI III,2,3 n. 1088",gehen
"RI III,2,3 n. 1089",treffen
"RI III,2,3 n. 1090",werden
"RI III,2,3 n. 1091",werden
"RI III,2,3 n. 1092",erwähnen
"RI III,2,3 n. 1093",überschreiten
"RI III,2,3 n. 1094",empfangen
"RI III,2,3 n. 1095",bestätigen
"RI III,2,3 n. 1096",empfangen
"RI III,2,3 n. 1097",erscheinen
"RI III,2,3 n. 1098",unternehmen
"RI III,2,3 n. 1099",feiern
"RI III,2,3 n. 11",werden
"RI III,2,3 n. 110",werden
"RI III,2,3 n. 1100",schlagen
"RI III,2,3 n. 1101",verzichten
"RI III,2,3 n. 1102",erobern
"RI III,2,3 n. 1103",nehmen
"RI III,2,3 n. 1104",schenken
"RI III,2,3 n. 1105",schenken
"RI III,2,3 n. 1106",wohnen
"RI III,2,3 n. 1107",entlassen
"RI III,2,3 n. 1109",lassen
"RI III,2,3 n. 1110",verlassen
"RI III,2,3 n. 1111",bestätigen
"RI III,2,3 n. 1112",schenken
"RI III,2,3 n. 1113",empfangen
"RI III,2,3 n. 1114",werden
"RI III,2,3 n. 1115",laden
"RI III,2,3 n. 1116",belagern
"RI III,2,3 n. 1117",empfangen
"RI III,2,3 n. 1118",begeben
"RI III,2,3 n. 1119",befehlen
"RI III,2,3 n. 1120",lassen
"RI III,2,3 n. 1121",verursachen
"RI III,2,3 n. 1122",treffen
"RI III,2,3 n. 1123",verleihen
"RI III,2,3 n. 1124",erneuen
"RI III,2,3 n. 1125",versperren
"RI III,2,3 n. 1126",werden
"RI III,2,3 n. 1127",bestätigen
"RI III,2,3 n. 1128",feiern
"RI III,2,3 n. 1129",versuchen
"RI III,2,3 n. 113",stoßen
"RI III,2,3 n. 1130",schenken
"RI III,2,3 n. 1131",empfangen
"RI III,2,3 n. 1132",brechen
"RI III,2,3 n. 1133",beschließen
"RI III,2,3 n. 1134",werden
"RI III,2,3 n. 1135",empfangen
"RI III,2,3 n. 1136",schlagen
"RI III,2,3 n. 1137",zeihen|ziehen
"RI III,2,3 n. 1138",schenken
"RI III,2,3 n. 1139",tagen
"RI III,2,3 n. 114",haben
"RI III,2,3 n. 1140",werden
"RI III,2,3 n. 1141",erteilen
"RI III,2,3 n. 1142",werden
"RI III,2,3 n. 1143",lassen
"RI III,2,3 n. 1144",stellen
"RI III,2,3 n. 1145",entgehen
"RI III,2,3 n. 1146",restituieren
"RI III,2,3 n. 1147",erhalten
"RI III,2,3 n. 1148",ernennen
"RI III,2,3 n. 1149",beschließen
"RI III,2,3 n. 1150",verlassen
"RI III,2,3 n. 1151",nehmen
"RI III,2,3 n. 1152",ernennen
"RI III,2,3 n. 1153",verleihen
"RI III,2,3 n. 1154",gestatten
"RI III,2,3 n. 1155",übertragen
"RI III,2,3 n. 1156",investieren
"RI III,2,3 n. 1157",nehmen
"RI III,2,3 n. 1158",schenken
"RI III,2,3 n. 1159",übertragen
"RI III,2,3 n. 116",werden
"RI III,2,3 n. 1160",übertragen
"RI III,2,3 n. 1161",verleihen
"RI III,2,3 n. 1162",nehmen
"RI III,2,3 n. 1163",erhalten
"RI III,2,3 n. 1165",bestätigen
"RI III,2,3 n. 1167",werden
"RI III,2,3 n. 1168",nehmen
"RI III,2,3 n. 1169",schenken
"RI III,2,3 n. 117",werden
"RI III,2,3 n. 1170",stellen
"RI III,2,3 n. 1171",werden
"RI III,2,3 n. 1172",werden
"RI III,2,3 n. 1173",zeihen|ziehen
"RI III,2,3 n. 1174",nehmen
"RI III,2,3 n. 1175",zeihen|ziehen
"RI III,2,3 n. 1176",begeben
"RI III,2,3 n. 1177",ernennen
"RI III,2,3 n. 1178",restituieren
"RI III,2,3 n. 1179",erscheinen
"RI III,2,3 n. 1180",bestätigen
"RI III,2,3 n. 1181",werden
"RI III,2,3 n. 1182",bestätigen
"RI III,2,3 n. 1183",treffen
"RI III,2,3 n. 1184",begehen
"RI III,2,3 n. 1185",ernennen
"RI III,2,3 n. 1186",treffen
"RI III,2,3 n. 1187",treffen
"RI III,2,3 n. 1189",treffen
"RI III,2,3 n. 1190",schenken
"RI III,2,3 n. 1191",sammeln
"RI III,2,3 n. 1192",laden
"RI III,2,3 n. 1193",feiern
"RI III,2,3 n. 1196",beurkunden
"RI III,2,3 n. 1197",ernennen
"RI III,2,3 n. 1198",setzen
"RI III,2,3 n. 1199",ernennen
"RI III,2,3 n. 1200",ernennen
"RI III,2,3 n. 1201",schenken
"RI III,2,3 n. 1202",beurkunden
"RI III,2,3 n. 1203",setzen
"RI III,2,3 n. 1204",bestätigen
"RI III,2,3 n. 1205",unternehmen
"RI III,2,3 n. 1206",lagern
"RI III,2,3 n. 1207",wohnen
"RI III,2,3 n. 1208",ernennen
"RI III,2,3 n. 1209",ernennen
"RI III,2,3 n. 121",bleiben
"RI III,2,3 n. 1210",ernennen
"RI III,2,3 n. 1211",entlassen
"RI III,2,3 n. 1212",gewähren
"RI III,2,3 n. 1213",gewähren
"RI III,2,3 n. 1214",müssen
"RI III,2,3 n. 1215",erhalten
"RI III,2,3 n. 1216",bestätigen
"RI III,2,3 n. 1217",lassen
"RI III,2,3 n. 1218",begeben
"RI III,2,3 n. 1219",ernennen
"RI III,2,3 n. 122",vermitteln
"RI III,2,3 n. 1220",ernennen
"RI III,2,3 n. 1221",begehen
"RI III,2,3 n. 1222",schenken
"RI III,2,3 n. 1223",schenken
"RI III,2,3 n. 1224",begehen
"RI III,2,3 n. 1225",schenken
"RI III,2,3 n. 1226",schenken
"RI III,2,3 n. 1227",schenken
"RI III,2,3 n. 1228",schenken
"RI III,2,3 n. 1229",schenken
"RI III,2,3 n. 1230",schenken
"RI III,2,3 n. 1231",bieten
"RI III,2,3 n. 1232",schenken
"RI III,2,3 n. 1233",brechen
"RI III,2,3 n. 1234",verleihen
"RI III,2,3 n. 1235",zeihen|ziehen
"RI III,2,3 n. 1236",besetzen
"RI III,2,3 n. 1237",machen
"RI III,2,3 n. 1238",verleihen
"RI III,2,3 n. 1239",begehen
"RI III,2,3 n. 124",ernennen
"RI III,2,3 n. 1240",schenken
"RI III,2,3 n. 1241",bestätigen
"RI III,2,3 n. 1242",halten
"RI III,2,3 n. 1243",kämpfen
"RI III,2,3 n. 1244",gestatten
"RI III,2,3 n. 1245",schenken
"RI III,2,3 n. 1246",verleihen
"RI III,2,3 n. 1247",investieren
"RI III,2,3 n. 1248",bestätigen
"RI III,2,3 n. 1249",zeihen|ziehen
"RI III,2,3 n. 1250",unterliegen
"RI III,2,3 n. 1251",erobern
"RI III,2,3 n. 1252",machen
"RI III,2,3 n. 1253",belagern
"RI III,2,3 n. 1254",müssen
"RI III,2,3 n. 1255",werden
"RI III,2,3 n. 1256",werden
"RI III,2,3 n. 1257",bleiben
"RI III,2,3 n. 1258",begehen
"RI III,2,3 n. 1259",beurkunden
"RI III,2,3 n. 126",werden
"RI III,2,3 n. 1260",bestätigen
"RI III,2,3 n. 1261",werden
"RI III,2,3 n. 1262",verleihen
"RI III,2,3 n. 1263",schenken
"RI III,2,3 n. 1264",lehnen
"RI III,2,3 n. 1265",senden
"RI III,2,3 n. 1266",restituieren
"RI III,2,3 n. 1267",brechen
"RI III,2,3 n. 1268",zeihen|ziehen
"RI III,2,3 n. 1269",begeben
"RI III,2,3 n. 127",bestätigen
"RI III,2,3 n. 1270",sterben
"RI III,2,3 n. 1271",investieren
"RI III,2,3 n. 1273",werden
"RI III,2,3 n. 1274",begehen
"RI III,2,3 n. 1275",bestätigen
"RI III,2,3 n. 1276",schenken
"RI III,2,3 n. 1277",schließen
"RI III,2,3 n. 1278",nehmen
"RI III,2,3 n. 1279",verloben
"RI III,2,3 n. 1280",halten
"RI III,2,3 n. 1281",schenken
"RI III,2,3 n. 1282",belagern
"RI III,2,3 n. 1283",beordern
"RI III,2,3 n. 1284",erlauben
"RI III,2,3 n. 1285",werden
"RI III,2,3 n. 1286",unterliegen
"RI III,2,3 n. 1287",geben
"RI III,2,3 n. 1288",befehlen
"RI III,2,3 n. 1289",bestätigen
"RI III,2,3 n. 129",begehen
"RI III,2,3 n. 1290",verleihen
"RI III,2,3 n. 1291",nehmen
"RI III,2,3 n. 1292",schenken
"RI III,2,3 n. 1293",bestätigen
"RI III,2,3 n. 1295",werden
"RI III,2,3 n. 1296",empfangen
"RI III,2,3 n. 1297",erheben
"RI III,2,3 n. 1298",übertragen
"RI III,2,3 n. 1299",setzen
"RI III,2,3 n. 13",werden
"RI III,2,3 n. 1300",setzen
"RI III,2,3 n. 1301",vermählen
"RI III,2,3 n. 1302",bestätigen
"RI III,2,3 n. 1304",schenken
"RI III,2,3 n. 1305",unternehmen
"RI III,2,3 n. 1306",entziehen
"RI III,2,3 n. 1307",bestätigen
"RI III,2,3 n. 1308",bestätigen
"RI III,2,3 n. 1309",verhandeln
"RI III,2,3 n. 1310",begehen
"RI III,2,3 n. 1312",werden
"RI III,2,3 n. 1313",schenken
"RI III,2,3 n. 1314",nehmen
"RI III,2,3 n. 1315",stellen
"RI III,2,3 n. 1316",verhandeln
"RI III,2,3 n. 1317",investieren
"RI III,2,3 n. 1318",brechen
"RI III,2,3 n. 1319",bestätigen
"RI III,2,3 n. 132",werden
"RI III,2,3 n. 1320",werden
"RI III,2,3 n. 1321",bestätigen
"RI III,2,3 n. 1322",werden
"RI III,2,3 n. 1324",begehen
"RI III,2,3 n. 1325",setzen
"RI III,2,3 n. 1326",werden
"RI III,2,3 n. 1327",investieren
"RI III,2,3 n. 1328",verwenden
"RI III,2,3 n. 1329",werden
"RI III,2,3 n. 1330",bestätigen
"RI III,2,3 n. 1331",ernennen
"RI III,2,3 n. 1332",werden
"RI III,2,3 n. 1333",begehen
"RI III,2,3 n. 1334",restituieren
"RI III,2,3 n. 1335",werden
"RI III,2,3 n. 1336",schenken
"RI III,2,3 n. 1337",sagen
"RI III,2,3 n. 1338",bestätigen
"RI III,2,3 n. 1339",bestätigen
"RI III,2,3 n. 1340",verleihen
"RI III,2,3 n. 1341",lehnen
"RI III,2,3 n. 1342",schenken
"RI III,2,3 n. 1343",bestätigen
"RI III,2,3 n. 1344",erobern
"RI III,2,3 n. 1345",schenken
"RI III,2,3 n. 1346",bestätigen
"RI III,2,3 n. 1347",ernennen
"RI III,2,3 n. 1348",schenken
"RI III,2,3 n. 1349",begeben
"RI III,2,3 n. 135",begehen
"RI III,2,3 n. 1350",sterben
"RI III,2,3 n. 1351",vereinbaren
"RI III,2,3 n. 1352",begehen
"RI III,2,3 n. 1353",empfangen
"RI III,2,3 n. 1354",entsenden
"RI III,2,3 n. 1355",begehen
"RI III,2,3 n. 1356",begehen
"RI III,2,3 n. 1357",zeihen|ziehen
"RI III,2,3 n. 1358",verwüsten
"RI III,2,3 n. 1359",nehmen
"RI III,2,3 n. 136",begehen
"RI III,2,3 n. 1361",brechen
"RI III,2,3 n. 1362",setzen
"RI III,2,3 n. 1363",verlieren
"RI III,2,3 n. 1364",verleihen
"RI III,2,3 n. 1365",begehen
"RI III,2,3 n. 1366",investieren
"RI III,2,3 n. 1367",wenden
"RI III,2,3 n. 1368",nehmen
"RI III,2,3 n. 1369",schenken
"RI III,2,3 n. 137",kommen
"RI III,2,3 n. 1370",schenken
"RI III,2,3 n. 1371",restituieren
"RI III,2,3 n. 1372",bestätigen
"RI III,2,3 n. 1373",bestätigen
"RI III,2,3 n. 1374",schenken
"RI III,2,3 n. 1375",bestätigen
"RI III,2,3 n. 1376",schenken
"RI III,2,3 n. 1377",schenken
"RI III,2,3 n. 1378",gestatten
"RI III,2,3 n. 1379",begehen
"RI III,2,3 n. 1380",zurücklassen
"RI III,2,3 n. 1381",bestätigen
"RI III,2,3 n. 1383",verleihen
"RI III,2,3 n. 1384",schenken
"RI III,2,3 n. 1385",werden
"RI III,2,3 n. 1386",schenken
"RI III,2,3 n. 1387",werden
"RI III,2,3 n. 1388",erneuern
"RI III,2,3 n. 1389",bestätigen
"RI III,2,3 n. 1390",bestätigen
"RI III,2,3 n. 1391",nehmen
"RI III,2,3 n. 1392",wollen
"RI III,2,3 n. 1393",bestätigen
"RI III,2,3 n. 1394",bestätigen
"RI III,2,3 n. 1395",senden
"RI III,2,3 n. 1396",erneuern
"RI III,2,3 n. 1397",beurkunden
"RI III,2,3 n. 1398",nehmen
"RI III,2,3 n. 1399",vergeben
"RI III,2,3 n. 14",erhalten
"RI III,2,3 n. 1400",danken
"RI III,2,3 n. 1401",bekennen
"RI III,2,3 n. 1402",erhalten
