ID,name1
H4P00001,"<i>A.</i>,"
H4P00002,"<i>A.</i>,"
H4P00003,"<i>A.</i>, <i>centurio</i>"
H4P00004,AA → Adalbero A
H4P00005,"Abiram, biblische Gestalt, Sohn Eliabs, Bruder Dathans, Auflehner gegen Moses"
H4P00006,AC → Gottschalk v. Aachen
H4P00007,"Achalmer, Adelsgeschlecht aus Schwaben"
H4P00008,"Aczo, Sohn Rudolf Rubias, Bruder Attos"
H4P00009,"Adalbero, Mgf. d. karantanischen Mark"
H4P00010,"Adalbero, Gf. v. Ebersberg, Gem. Richildes"
H4P00011,"Adalbero, Edelfreier"
H4P00012,"Adalbero A (AA), namentlich unbekannter Bamberger Diktator"
H4P00013,Adalbero C → Gottschalk v. Aachen
H4P00014,"Adalbero, Bf. v. Bamberg (1053-1057), Sohn Beatrix’"
H4P00015,"Adalbero (v. Luxemburg), Bf. III. v. Metz (1047-1072), Bruder Hzg. Friedrichs (v. Luxemburg) II. v. Niederlothringen, Hzg. Heinrichs VII. v. Bayern und Gf. Hermanns v. Gleiberg, Onkel Pfalzgf. Heinrichs (II. v. Laach) II. v. Lothringen, (Gegen)Kg. Hermanns v. Salm, Gf. Konrads v. Luxemburg und Bf. Poppos v. Metz"
H4P00016,"Adalbero, (ksl. Gegen)Bf. IV. v. Metz (1090-1117/18)"
H4P00017,"Adalbero, Bf. v. Trient (1084-nach 1104), ital. Kanzler Heinrichs IV."
H4P00018,"Adalbero, Bf. v. Verona (1063-ca. 1069)"
H4P00019,"Adalbero (v. Rheinfelden), Bf. v. Worms (1065-1070), Bruder (Gegen)Kg. Rudolfs v. Rheinfelden, Onkel Kg.in Adelheids (v. Rheinfelden) v. Ungarn, Agnes’ v. Rheinfelden, Berthas v. Rheinfelden und (Gegen)Hzg. Bertholds (v. Rheinfelden) I. v. Schwaben"
H4P00020,"Adalbero, Bf. v. Worms 843 (→ Adalbert, Bf. v. Worms, siehe Addenda und Corrigenda), 911 (→ Adalbero, Bf. v. Würzburg, siehe Addenda und Corrigenda)"
H4P00021,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds"
H4P00022,"Adalbero, Metzer Domkanoniker, Kanzler Heinrichs IV., Kanzler (Gegen)Kg. Rudolfs v. Rheinfelden"
H4P00023,"Adalbero, Archidiakon d. Kirche zu Verona"
H4P00024,"Adalbert, Mgf. v. Österreich, Gem. (1) Glismods und (2) Frowilas, Vater Mgf. Ernsts v. Österreich"
H4P00025,"Adalbert (Albert), Mgf."
H4P00026,"Adalbert (Albert), Mgf., <i>fidelis</i> Heinrichs IV., Sohn Mgf. Auberts"
