ID,name1
H4O02323,Aachen (Nordrhein-Westfalen)
H4O02324,"Abbadia a Isola, O. in Italien (Toskana)"
H4O02325,"Acquanegra, O. in Italien (Lombardei)"
H4O02326,"Acquanegra Cremonese, O. in Italien (Lombardei)"
H4O02327,"Acqui, Grafschaft in Italien, sw. Alessandria gelegen (Piemont)"
H4O02328,"Adda, Fluß in Italien (Lombardei)"
H4O02329,Aderstedt (Sachsen-Anhalt)
H4O02330,Adige → Etsch
H4O02331,"Adria, Meer, nördliches Seitenbecken des Mittelmeeres"
H4O02332,Aeringa → Aringe
H4O02333,"Affligem, O. in Belgien (Flämisch-Brabant)"
H4O02334,Afrakapelle → Speyer
H4O02335,Afrakapelle → Augsburg
H4O02336,Afrika
H4O02337,Agostoli → <i>S. Augustinus</i>
H4O02338,"Agger, Nebenfluß der Sieg (Nordrhein-Westfalen)"
H4O02339,"Agna, O. in Italien (Venetien)"
H4O02340,Agricia → Allegrezza
H4O02341,Ahlbershausen (Niedersachsen)
H4O02342,"Ahrgau, Gau, sw. Bonn"
H4O02343,"Airasca, O. in Italien (Piemont)"
H4O02344,"Alba, O. in Italien (Piemont)"
H4O02345,"Albaner Berge, Ringgebirge in Italien (Latium)"
H4O02346,"Albano, O. in Italien (Latium)"
H4O02347,"Albano Vercellese, O. in Italien (Piemont)"
H4O02348,"Albaredo d’Adige, O. in Italien (Venetien)"
H4O02349,"Alberoro, O. in Italien (Toskana)"
H4O02350,"Albettone, O. in Italien (Venetien)"
H4O02351,"Albgau, Gau, zw. Feldberg, Murg Rhein und Wutach gelegen"
H4O02352,"Albignasego, O. in Italien (Venetien)"
H4O02353,"<i>Aldenebroch</i>, Bruchgegend auf dem linken Ufer der Weser"
H4O02354,"Aldenhof/Spang, aufgegangen in Spangdahlem (Rheinland-Pfalz)"
H4O02355,"<i>Aldium</i>, O. in Italien, abgegangen beiderseits des Arno am Ligurischen Meer (Toskana)"
H4O02356,Alemannien (<i>Alemannia</i>) → Schwaben
H4O02357,"Alkmaar, O. in den Niederlanden (Nordholland)"
H4O02358,"Allegrezza (Agricia), Wasserlauf in Italien, ö. Roncoferraro gelegen (Lombardei/Venetien?)"
H4O02359,"Aller, Nebenfluß der Weser (Sachsen-Anhalt und Niedersachsen)"
H4O02360,"Allerheiligen, Kl. → Schaffhausen"
H4O02361,Allstedt (Sachsen-Anhalt)
H4O02362,"Alonte, O. in Italien (Venetien)"
H4O02363,Alpen
H4O02364,"<i>Alpo</i>, O. in Italien, entweder Alpo (Venetien) oder Asparetto (Venetien)"
H4O02365,"Alpone, Fluß in Italien, Nebefluß der Etsch (Venetien)"
H4O02366,Alsfeld (Hessen)
H4O02367,"Altaura, O. in Italien (Venetien)"
H4O02368,"Altavilla Vicentina, O. in Italien (Venetien)"
H4O02369,"Altbunzlau (Stará Boleslav), O. in Tschechien (Mittelböhmische Region)"
H4O02370,"Altdorf, heute Weingarten (Baden-Württemberg)"
H4O02371,Altenburg → <i>Plisna</i>
H4O02372,Altenheerse (Nordrhein-Westfalen)
H4O02373,"Altenmünster, Kl. → Lorsch"
H4O02374,"Alter Hof, Klosterzelle → Pavia"
H4O02375,Altfraunhofen → <i>Frawnhouen</i>
H4O02376,"Altichiero, O. in Italien, aufgegangen in Padua (Venetien)"
H4O02377,Altlinster → <i>Linzera</i>
H4O02378,Altmünsterkloster zu Mainz → Mainz
H4O02379,<i>Alumpna</i> → Grezzana
H4O02380,Altötting (Bayern)
H4O02381,"Amalfi, O. in Italien (Kampanien)"
H4O02382,Amblève → Amel
H4O02383,"Amel (Amblève), Fluß in Belgien, Nebenfluß zur Ourthe (Lüttich)"
H4O02384,"Ammergau, Gau, n. der unteren Hunte und w. der unteren Weser gelegen"
H4O02385,<i>Anasim</i> → Enns
H4O02386,Anastasiuskloster → Corteolano
H4O02387,"Ancona, Mark in Italien, um Ancona gelegen (Marken)"
H4O02388,"Ancona, Grafschaft in Italien, um Ancona gelegen (Marken)"
H4O02389,"Andenne, O. in Belgien (Namur)"
H4O02390,Andernach (Rheinland-Pfalz)
H4O02391,"<i>Andrini</i>, unbekannt, wohl in Italien zu suchen"
H4O02392,"Angarano, O. in Italien, heute w. der Brenta gelegener Stadtteil v. Bassano del Grappa (Venetien)"
H4O02393,"Angeren (Enger), O. in den Niederlanden (Gelderland)"
H4O02394,Annone → Castello di Annone
H4O02395,Annweiler (Rheinland-Pfalz)
H4O02396,Anria → Antria
H4O02397,Ansbach (Bayern)
H4O02398,"Antiochia, Stadt im antiken Syrien, heute Antakya in der Türkei (Hatay)"
H4O02399,"Antria, O. in Italien (Toskana)"
H4O02400,"Antrodoco, O. in Italien (Latium)"
H4O02401,"Antwerpen, Markgrafschaft in Belgien, um Antwerpen gelegen"
H4O02402,"Antwerpen, O. in Belgien (Antwerpen)"
H4O02403,"Apennin, Gebirgszug durch Italien"
H4O02404,"Apulien, Gebiet im sö. Italien, Teil des normannischen Reiches"
H4O02405,"Aquileia, O. in Italien (Friaul-Julisch Venetien)"
H4O02406,"Aquino, O. in Italien (Latium)"
H4O02407,"<i>Arbiona</i>, O. in Italien, vermutlich abgegangen nw. Monteroni d’Arbia sö. Siena (Toskana)"
H4O02408,"Arcola, O. in Italien (Ligurien)"
H4O02409,"Arcole, O. in Italien (Venetien)"
H4O02410,Arconciel → Ergenzach
H4O02411,"Ardagger, O. in Österreich (Niederösterreich)"
H4O02412,"Ardennengau, Gau, im Gebiet des heutigen Dreiländercks Belgien, Luxemburg und Deutschland gelegen"
H4O02413,"Arezzo, Grafschaft in Italien, um Arezzo gelegen (Toskana)"
H4O02414,"Arezzo, O. in Italien (Toskana)"
H4O02415,"<i>Arganello</i>, unbekannt, wohl in Italien zu suchen"
H4O02416,"Argenta, O. in Italien (Emilia-Romagna)"
H4O02417,"Argenteau, Burg in Belgien (Lüttich)"
H4O02418,Argenthal (Rheinland-Pfalz)
H4O02419,"Argine, O. in Italien (Emilia-Romagna)"
H4O02420,"Aringe (Aeringa), Gau, entlang der Leine s. Hannover gelegen"
H4O02421,"Arno, Fluß in Italien (Toskana)"
H4O02422,Arpadenreich → Ungarn
H4O02423,"Arquà Polesine, O. in Italien (Venetien)"
H4O02424,"Arquata Scrivia, O. in Italien (Piemont)"
H4O02425,"<i>Armum</i>, unbekannt, O. in Italien, vielleicht nw. La Spezia gelegen (Ligurien)"
H4O02426,"Arno, Fluß in Italien (Toskana)"
H4O02427,"Arras, O. in Frankreich (Pas-de-Calais)"
H4O02428,"Arsiero, O. in Italien (Venetien)"
H4O02429,"Arzignano, O. in Italien (Venetien)"
H4O02430,"<i>Ascbroch</i>, Bruchgegend, auf d. linken Ufer der Weser gelegen"
H4O02431,"Asing, heute Ortsteil v. Künzing (Bayern)"
H4O02432,"Asmersleben, heute wüst n. Ballenstedt (Sachsen-Anhalt)"
H4O02433,"Asolo, O. in Italien (Venetien)"
H4O02434,Asparett → <i>Alpo</i>
H4O02435,"Asselborn, O. in Luxemburg (Clervaux)"
H4O02436,"Assyrien, historische Landschaft im nördlichen Mesopotamien, insbesondere am mittleren Tigris gelegen"
H4O02437,"Asti, Grafschaft in Italien, um Asti gelegen (Piemont)"
H4O02438,"Asti, O. in Italien (Piemont)"
H4O02439,"Aue, Nebenbach der Weser (Nordrhein-Westfalen/Niedersachsen)"
H4O02440,"Auelgau, Gau, um den Unterlauf der Sieg gelegen"
H4O02441,Auerstedt (Thüringen)
H4O02442,Aufhausen → <i>Hvfhvsvn</i>
H4O02443,Augsburg (Bayern)
H4O02444,"Augstgau, Gau, im äußersten Osten Schwabens gelegen"
H4O02445,"Aulla, O. in Italien (Toskana)"
H4O02446,"Aurach, Nebenfluß der Regnitz (Bayern)"
H4O02447,"Aversa, O. in Italien (Kampanien)"
H4O02448,"Axams, O. in Österreich (Tirol)"
H4O02449,"Azzanello, O. in Italien (Lombardei)"
H4O02450,Babia → Bebbe
H4O02451,"Bacchiglione, Fluß in Norditalien"
H4O02452,Badenborn (Rheinland-Pfalz)
H4O02453,"Badia Polesine, O. in Italien (Venetien)"
H4O02454,Bad Hersfeld → Hersfeld
H4O02455,Bad Orb (Hessen)
H4O02456,Bad Kösen (Sachsen-Anhalt)
H4O02457,Bad Sulza (Thüringen)
H4O02458,Baden-Baden (Baden-Württemberg)
H4O02459,Bad Kreuznach (Rheinland-Pfalz)
H4O02460,"<i>Badarinus</i>, Bach in Italien, s. Volano gelegen (Emilia-Romagna)"
H4O02461,Badeborn (Sachsen-Anhalt)
H4O02462,"Bagnaia, O. in Italien (Toskana)"
H4O02463,"Bagneux, O. in Frankreich (Meurthe-et-Moselle)"
H4O02464,"Bagnolo di Po, O. in Italien (Venetien)"
H4O02465,"Bagnolo San Vito, O. in Italien (Lombardei)"
H4O02466,"<i>Baioariola</i>, unbekannt, O. in Italien, bei Baggiovara gelegen (Emilia-Romagna)"
H4O02467,"Baisy, O. in Belgien, aufgegangen in Genappe (Wallonisch-Brabant)"
H4O02468,"Bale (Valle), O. in Kroatien (Istrien)"
H4O02469,Balkan
H4O02470,"<i>Ballauimons</i>, O. im französischen Sprachgebiet des Deutschen Reiches zu suchen"
H4O02471,Ballenstedt (Sachsen-Anhalt)
H4O02472,"Balzola, O. in Italien (Piemont)"
H4O02473,Bamberg (Bayern)
H4O02474,"Banzola, O. in Italien (Emilia-Romagna)"
H4O02475,"Barbarano Vicentino, O. in Italien (Venetien)"
H4O02476,"Barbasso, O. in Italien (Lombardei)"
H4O02477,"Barca, O. in Italien (Toskana)"
H4O02478,"<i>Barciano</i>, unbekannt, wohl in Italien zu suchen"
H4O02479,"Bardengau, Gau, um die nw. Lüneburg in die Elbe mündende Ilmenau gelegen"
H4O02480,"<i>Barderana</i>, unbekannt, O. in Italien, im Gebiet n./ö. La Spezia gelegen (Ligurien)"
H4O02481,Bardowick (Niedersachsen)
H4O02482,"Bareville, O. in Frankreich (Meuse)"
H4O02483,"Bargen (<i>Tirensi</i>), Grafschaft, zw. dem mittlerem Jura und der Aare gelegen"
H4O02484,"Bariano, O. in Italien (Lombardei)"
H4O02485,"Barkhofen, aufgegangen in Essen (Nordrhein-Westfalen)"
H4O02486,Barleben (Sachsen-Anhalt)
H4O02487,"Barontoli, O. in Italien (Toskana)"
H4O02488,"<i>Barotoli</i>, unbestimmt, O. in Italien sö. Cremona (Lombardei oder Emilia-Romagna)"
H4O02489,Barnstorf (Niedersachsen)
H4O02490,"Basaluzzo, O. in Italien (Piemont)"
H4O02491,"Basel, O. in der Schweiz (Basel)"
H4O02492,"Bassano, O. in Italien (Venetien)"
H4O02493,"Baumgarten a. d. March, O. in Österreich (Niederösterreich)"
H4O02494,"Baura, O. in Italien, heute Stadtteil v. Ferrara (Emilia-Romagna)"
H4O02495,"Bautzen, Gau, um Bautzen gelegen (Sachsen)"
H4O02496,"Bauzemont, O. in Frankreich (Meurthe-et-Moselle)"
H4O02497,"Bayern, Herzogtum"
H4O02498,"Beaumont, Burg in Belgien (Hennegau)"
H4O02499,"Bebbe (Babia), Wasserlauf im Gebiet der Tenuta delle Bebbe bzw. Torre delle Bebbe in Italien (Venetien)"
H4O02500,Bechtheim (Rheinland-Pfalz)
H4O02501,Bechtolsheim (Rheinland-Pfalz)
H4O02502,Beeck → <i>Budenbonen</i>
H4O02503,Behringen (Thüringen)
H4O02504,"Beichlingen, Burg (Thüringen)"
H4O02505,"Beinstein, heute Teilort v. Waiblingen (Baden-Württemberg)"
H4O02506,Bellei → Beleij
H4O02507,"Beleij (Bellei), O. in Kroatien, heute Belja (Istrien)"
H4O02508,Bellersen (Nordrhein-Westfalen)
H4O02509,"Bellinzona, O. in der Schweiz (Tessin)"
H4O02510,Bendorf (Rheinland-Pfalz)
H4O02511,Benediktbeuern (Bayern)
H4O02512,"Benevent, O. in Italien (Kampanien)"
H4O02513,Berga → Vicenza
H4O02514,"Bergamo, O. in Italien (Lombardei)"
H4O02515,"Bergell, Tal, zw. dem Malojapass und Chiavenna in der Schweiz und Italien gelegen"
H4O02516,"Bergen, Nonnenkl. (Bayern)"
H4O02517,Bergen-Enkheim (Hessen)
H4O02518,"Bergheim, aufgegangen in Heidelberg (Baden-Württemberg)"
H4O02519,Bergrheinfeld → <i>Roumueld</i>
H4O02520,"<i>Beringen</i>, entweder Ober- oder Niederpöring (Bayern)"
H4O02521,Berka (Thüringen)
H4O02522,"<i>Bern</i>, unbekannte Grafschaft, im Trechirgau gelegen"
H4O02523,"<i>Bernessu</i>, Wüstung (Niedersachsen)"
H4O02524,Bernkastel-Kues (Rheinland-Pfalz)
H4O02525,"Berslingen, O. in der Schweiz, abgegangen bei Merishausen (Schaffhausen)"
H4O02526,"Berstadt, heute Ortsteil v. Wölfersheim (Hessen)"
H4O02527,"Berstett, O. in Frankreich (Bas-Rhin)"
H4O02528,"Besançon, O. in Frankreich (Doubs)"
H4O02529,"Besingen, wüst nahe Osterode (Niedersachsen)"
H4O02530,"Bianello, O. in Italien (Emilia-Romagna)"
H4O02531,"Bibbiano, O. in Italien (Emilia-Romagna)"
H4O02532,"<i>Biberbach</i>, abgegangen am Feuerbach in Stuttgart (Baden-Württemberg)"
H4O02533,"Bichlwang, O. in Österreich, aufgegangen in Kirchbichl (Tirol)"
H4O02534,"Bickesheim, aufgegangen in Durmersheim (Baden-Württemberg)"
H4O02535,"Bicklingen, wüst bei Rieder (Sachsen-Anhalt)"
H4O02536,"Bigarello, O. in Italien (Lombardei)"
H4O02537,"Bičje, O. in Slowenien"
H4O02538,Bingen (Rheinland-Pfalz)
H4O02539,Binsfeld (Nordrhein-Westfalen)
H4O02540,Bionzo → <i>Blundum</i>
H4O02541,"Birbesi, O. in Italien (Lombardei)"
H4O02542,Birk (Nordrhein-Westfalen)
H4O02543,"Bisarno, ehemalige Arnoinsel bei Florenz in Italien (Toskana)"
H4O02544,"Bissone, O. in Italien (Lombardei)"
H4O02545,Bitburg (Rheinland-Pfalz)
H4O02546,"<i>Blanda</i>, abgegangen zw. Weil der Stadt und Malmsheim (Baden-Württemberg)"
H4O02547,"Blesio, Wald in Italien, bei S. Damiano d’Asti gelegen (Piemont)"
H4O02548,"Bliesgau, Gau, sö. v. Saarbrücken gelegen"
H4O02549,"<i>Blundum</i>, O. in Italien, entweder Fiondi (Piemont) oder Bionzo (Piemont)"
H4O02550,"Bobbio (Sarsina), Grafschaft in Italien, sw. Rimini gelegen (Emilia-Romagna)"
H4O02551,"Bobbio, Grafschaft in Italien, zw. Genua und Piacenza gelegen"
H4O02552,"Bobbio, O. in Italien (Emilia-Romagna)"
H4O02553,"Bocchignola, O. in Italien (Ligurien)"
H4O02554,"Böckelheim, Burg (Rheinland-Pfalz)"
H4O02555,Bockenheim (Rheinland-Pfalz)
H4O02556,"Bode, Fluß (Sachsen-Anhalt)"
H4O02557,"Bodensee, See in Deutschland, Österreich und der Schweiz"
H4O02558,"Bodfeld, einstiger Jagdhof im Harz (Sachsen-Anhalt)"
H4O02559,Bogliuno → Boljun
H4O02560,"Böhlitz, aufgegangen in Mutzschen (Sachsen)"
H4O02561,"Böhmen, Herzogtum, ab 1085 Königreich"
H4O02562,"<i>Bolcen</i>, Befestigung, vermutlich in den Niederlanden gelegen"
H4O02563,"Boljun (Bogliuno), O. in Kroatien (Istrien)"
H4O02564,"Bologna, Grafschaft in Italien, um Bologna gelegen (Emilia-Romagna)"
H4O02565,"Bologna, O. in Italien (Emilia-Romagna)"
H4O02566,Bolzano → Bozen
H4O02567,"<i>Bomalan</i>, unbekannt"
H4O02568,Bommern → <i>Budenbonen</i>
H4O02569,"<i>Bonago</i>, unbekannt, O. in Italien, auf d. Gebiet v. Mantua gelegen (Lombardei)"
H4O02570,"Bondeno (di Roncore), O. in Italien (Emilia-Romagna)"
H4O02571,"Bonlez, O. in Belgien, aufgegangen in Chaumont-Gistoux (Wallonisch-Brabant)"
H4O02572,Bonn (Nordrhein-Westfalen)
H4O02573,Boppard (Rheinland-Pfalz)
H4O02574,"Borgo di Castevoli, O. in Italien (Toskana)"
H4O02575,Borgo San Donnino → Fidenza
H4O02576,"Borgo San Genesio, O. in Italien, heute zerstört (Toskana)"
H4O02577,"Borgo San Valentino, O. in Italien, aufgegangen in Viterbo (Latium)"
H4O02578,"Borgosesia, O. in Italien (Piemont)"
H4O02579,Boritz (Sachsen)
H4O02580,Borlinghausen (Nordrhein-Westfalen)
H4O02581,"Bosco Marengo, O. in Italien (Piemont)"
H4O02582,"Bossendorf, O. in Frankreich (Bas-Rhin)"
H4O02583,"Bossleben, abgegangen ö. Halberstadt (Rhein-land-Pfalz)"
H4O02584,Botnang (Baden-Württemberg)
H4O02585,"Bottaiano, O. in Italien (Lombardei)"
H4O02586,"Botticino, O. in Italien (Lombardei)"
H4O02587,"Bouchain, Burg in Frankreich (Nord)"
H4O02588,"Bozen (Bolzano), O. in Italien (Trentino-Südtirol)"
H4O02589,Bräunrode (Sachsen-Anhalt)
H4O02590,"<i>Braidum</i>, O. in Italien, abgegangen bei Bovolenta (Venetien)"
H4O02591,"<i>Braidum sancti Viti</i>, unbekannt, O. in Italien, in Vicenza gelegen (?) (Venetien)"
