ID,regnum,regnum2,name1,name2
H4P00001,805,805,,"<i>A.</i>,"
H4P00002,1517,1517,,"<i>A.</i>,"
H4P00003,1519,1519,,"<i>A.</i>, <i>centurio</i>"
H4P00005,762,762,,"Abiram, biblische Gestalt, Sohn Eliabs, Bruder Dathans, Auflehner gegen Moses"
H4P00007,363,363,,"Achalmer, Adelsgeschlecht aus Schwaben"
H4P00008,1056,1056,,"Aczo, Sohn Rudolf Rubias, Bruder Attos"
H4P00009,714,714,,"Adalbero, Mgf. d. karantanischen Mark"
H4P00010,78,78,,"Adalbero, Gf. v. Ebersberg, Gem. Richildes"
H4P00011,331,331,,"Adalbero, Edelfreier"
H4P00012,666,666,,"Adalbero A (AA), namentlich unbekannter Bamberger Diktator"
H4P00012,717,717,,"Adalbero A (AA), namentlich unbekannter Bamberger Diktator"
H4P00012,959,959,,"Adalbero A (AA), namentlich unbekannter Bamberger Diktator"
H4P00012,1400,1400,,"Adalbero A (AA), namentlich unbekannter Bamberger Diktator"
H4P00012,1403,1403,,"Adalbero A (AA), namentlich unbekannter Bamberger Diktator"
H4P00012,1420,1420,,"Adalbero A (AA), namentlich unbekannter Bamberger Diktator"
H4P00012,1481,1481,,"Adalbero A (AA), namentlich unbekannter Bamberger Diktator"
H4P00012,1485,1485,,"Adalbero A (AA), namentlich unbekannter Bamberger Diktator"
H4P00012,481,481,Notar (AA),"Adalbero A (AA), namentlich unbekannter Bamberger Diktator // Notar (AA)"
H4P00012,482,482,Notar (AA),"Adalbero A (AA), namentlich unbekannter Bamberger Diktator // Notar (AA)"
H4P00012,524,524,Notar (AA),"Adalbero A (AA), namentlich unbekannter Bamberger Diktator // Notar (AA)"
H4P00012,525,525,Notar (AA),"Adalbero A (AA), namentlich unbekannter Bamberger Diktator // Notar (AA)"
H4P00012,526,526,Notar (AA),"Adalbero A (AA), namentlich unbekannter Bamberger Diktator // Notar (AA)"
H4P00012,530,530,Notar (AA),"Adalbero A (AA), namentlich unbekannter Bamberger Diktator // Notar (AA)"
H4P00012,532,532,Notar (AA),"Adalbero A (AA), namentlich unbekannter Bamberger Diktator // Notar (AA)"
H4P00012,535,535,Notar (AA),"Adalbero A (AA), namentlich unbekannter Bamberger Diktator // Notar (AA)"
H4P00012,536(†),536,Notar (AA),"Adalbero A (AA), namentlich unbekannter Bamberger Diktator // Notar (AA)"
H4P00012,539,539,Notar (AA),"Adalbero A (AA), namentlich unbekannter Bamberger Diktator // Notar (AA)"
H4P00012,544,544,Notar (AA),"Adalbero A (AA), namentlich unbekannter Bamberger Diktator // Notar (AA)"
H4P00012,548,548,Notar (AA),"Adalbero A (AA), namentlich unbekannter Bamberger Diktator // Notar (AA)"
H4P00012,551,551,Notar (AA),"Adalbero A (AA), namentlich unbekannter Bamberger Diktator // Notar (AA)"
H4P00012,554,554,Notar (AA),"Adalbero A (AA), namentlich unbekannter Bamberger Diktator // Notar (AA)"
H4P00012,559,559,Notar (AA),"Adalbero A (AA), namentlich unbekannter Bamberger Diktator // Notar (AA)"
H4P00012,568,568,Notar (AA),"Adalbero A (AA), namentlich unbekannter Bamberger Diktator // Notar (AA)"
H4P00012,575,575,Notar (AA),"Adalbero A (AA), namentlich unbekannter Bamberger Diktator // Notar (AA)"
H4P00012,581,581,Notar (AA),"Adalbero A (AA), namentlich unbekannter Bamberger Diktator // Notar (AA)"
H4P00012,590,590,Notar (AA),"Adalbero A (AA), namentlich unbekannter Bamberger Diktator // Notar (AA)"
H4P00012,664,664,Notar (AA),"Adalbero A (AA), namentlich unbekannter Bamberger Diktator // Notar (AA)"
H4P00012,665,665,Notar (AA),"Adalbero A (AA), namentlich unbekannter Bamberger Diktator // Notar (AA)"
H4P00012,762,762,Notar (AA),"Adalbero A (AA), namentlich unbekannter Bamberger Diktator // Notar (AA)"
H4P00012,891,891,Notar (AA),"Adalbero A (AA), namentlich unbekannter Bamberger Diktator // Notar (AA)"
H4P00012,892,892,Notar (AA),"Adalbero A (AA), namentlich unbekannter Bamberger Diktator // Notar (AA)"
H4P00014,71,71,,"Adalbero, Bf. v. Bamberg (1053-1057), Sohn Beatrix’"
H4P00014,93,93,,"Adalbero, Bf. v. Bamberg (1053-1057), Sohn Beatrix’ (siehe Addenda und Corrigenda)"
